Features	Importance
integrated_fitCons_score	0.14803999999999976
FATHMM_score	0.12255999999999988
GERP++_RS	0.0848399999999996
fathmm-MKL_coding_score	0.08151999999999975
SiPhy_29way_logOdds	0.06107999999999948
VEST3_score	0.05279999999999956
phastCons7way_vertebrate	0.041199999999999626
MetaLR_score	0.037639999999999736
MetaSVM_score	0.036559999999999704
PROVEAN_score	0.03523999999999974
phyloP20way_mammalian	0.027999999999999754
CADD_raw	0.025519999999999807
Polyphen2_HVAR_score	0.024679999999999796
MutationAssessor_score	0.023959999999999825
DANN_score	0.02259999999999979
MutationTaster_score	0.02195999999999975
SIFT_score	0.021479999999999864
DOM_PF00613	0.01999999999999975
DOM_PF00028	0.019799999999999755
DOM_PF00792	0.018239999999999788
DOM_PF02192	0.0176799999999998
phyloP7way_vertebrate	0.015719999999999908
phastCons20way_mammalian	0.010519999999999972
Polyphen2_HDIV_score	0.009839999999999969
LRT_score	0.00896
CADD_phred	0.0053200000000000035
LRT_pred	0.003320000000000002
DOM_PF10409	0.00072
integrated_confidence_value	0.00011999999999999999
FATHMM_pred	4e-05
PROVEAN_pred	4e-05
DOM_PF03154	0.0
DOM_PF09040	0.0
DOM_PF00115	0.0
DOM_PF00510	0.0
DOM_PF15444	0.0
DOM_PF13631	0.0
DOM_PF15504	0.0
DOM_PF15260	0.0
DOM_PF06229	0.0
DOM_PF00320	0.0
DOM_PF15991	0.0
DOM_PF06455	0.0
DOM_PF00125	0.0
DOM_PF00146	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF00907	0.0
DOM_PF16454	0.0
DOM_PF00853	0.0
DOM_PF00361	0.0
DOM_PF02312	0.0
Variant_Classification_5'UTR	0.0
DOM_PF00119	0.0
DOM_PF13853	0.0
Polyphen2_HDIV_pred	0.0
Polyphen2_HVAR_pred	0.0
MutationTaster_pred	0.0
MutationAssessor_pred	0.0
fathmm-MKL_coding_pred	0.0
MetaSVM_pred	0.0
MetaLR_pred	0.0
Variant_Classification_Missense_Mutation	0.0
Variant_Classification_Silent	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Intron	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Frame_Shift_Ins	0.0
SIFT_pred	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF04553	0.0
