Features	Importance
integrated_fitCons_score	0.300290086288465
GERP++_RS	0.10543265737428684
VEST3_score	0.1038506779195606
DOM_PF00613	0.07609215907151051
FATHMM_score	0.04666656129114259
Polyphen2_HVAR_score	0.03941581312696996
MutationAssessor_score	0.037329000566584856
phastCons7way_vertebrate	0.034403191002200996
MetaLR_score	0.03200683179394805
fathmm-MKL_coding_score	0.03153663518709277
SiPhy_29way_logOdds	0.028020426711638326
phyloP20way_mammalian	0.022270975092596623
MetaSVM_score	0.02114945322215801
Polyphen2_HDIV_score	0.016442829988521597
PROVEAN_score	0.014660596716101875
phyloP7way_vertebrate	0.013841005987584436
CADD_raw	0.013404425147413652
CADD_phred	0.012141205514847788
phastCons20way_mammalian	0.010478547083973092
DANN_score	0.00904474434077224
SIFT_score	0.00793259593176141
MutationTaster_score	0.005914076624976706
MutationAssessor_pred	0.0032675318802334406
FATHMM_pred	0.0029426686878001934
MetaSVM_pred	0.001947930959485474
LRT_score	0.001768694717870991
MetaLR_pred	0.0016769428427088054
DOM_PF00028	0.0013971739019155622
fathmm-MKL_coding_pred	0.000784808205406405
SIFT_pred	0.00075778205432052
LRT_pred	0.0007251593635488257
PROVEAN_pred	0.0006264235976312983
Polyphen2_HVAR_pred	0.0005279532258217857
DOM_PF00792	0.0004937385029899515
Polyphen2_HDIV_pred	0.00034416118685004553
MutationTaster_pred	0.00027205825436957867
DOM_PF02192	0.00014247663493918158
DOM_PF10409	0.0
DOM_PF00361	0.0
DOM_PF15504	0.0
DOM_PF15260	0.0
DOM_PF06229	0.0
DOM_PF00320	0.0
DOM_PF15991	0.0
DOM_PF09040	0.0
DOM_PF00125	0.0
DOM_PF06455	0.0
DOM_PF00146	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF15444	0.0
DOM_PF00907	0.0
DOM_PF16454	0.0
DOM_PF00853	0.0
DOM_PF13631	0.0
Variant_Classification_5'UTR	0.0
DOM_PF00510	0.0
Variant_Classification_Splice_Site	0.0
integrated_confidence_value	0.0
Variant_Classification_Missense_Mutation	0.0
Variant_Classification_Silent	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Intron	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Region	0.0
DOM_PF00115	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF00119	0.0
DOM_PF03154	0.0
DOM_PF02312	0.0
DOM_PF04553	0.0
