Features	Importance
LRT_pred	0.146
MutationTaster_pred	0.086
Polyphen2_HVAR_pred	0.08399999999999999
MutationAssessor_pred	0.06999999999999999
fathmm-MKL_coding_pred	0.06800000000000002
Polyphen2_HDIV_pred	0.06200000000000001
SIFT_pred	0.046
FATHMM_pred	0.03
Variant_Classification_Splice_Site	0.028000000000000004
Variant_Classification_Frame_Shift_Del	0.025999999999999995
Variant_Classification_Nonsense_Mutation	0.023999999999999997
Variant_Classification_3'UTR	0.019999999999999997
Variant_Classification_Frame_Shift_Ins	0.019999999999999997
DOM_PF00613	0.019999999999999997
Variant_Classification_In_Frame_Ins	0.019999999999999997
DOM_PF02192	0.019999999999999997
DOM_PF00028	0.019999999999999997
DOM_PF10409	0.019999999999999997
DOM_PF00792	0.019999999999999997
Variant_Classification_3'Flank	0.018
Variant_Classification_In_Frame_Del	0.018
Variant_Classification_Nonstop_Mutation	0.018
Variant_Classification_Splice_Region	0.014000000000000002
Variant_Classification_Intron	0.014000000000000002
Variant_Classification_Translation_Start_Site	0.014000000000000002
Variant_Classification_Silent	0.014000000000000002
Variant_Classification_5'UTR	0.012
PROVEAN_pred	0.012
MetaLR_pred	0.01
DOM_PF00870	0.01
MetaSVM_pred	0.006
DOM_PF00907	0.006
Variant_Classification_5'Flank	0.004
DOM_PF00361	0.0
DOM_PF00853	0.0
DOM_PF16454	0.0
DOM_PF00125	0.0
DOM_PF07710	0.0
DOM_PF15444	0.0
DOM_PF01059	0.0
DOM_PF00507	0.0
DOM_PF00146	0.0
DOM_PF06455	0.0
DOM_PF00119	0.0
DOM_PF09040	0.0
DOM_PF15991	0.0
DOM_PF00320	0.0
DOM_PF06229	0.0
DOM_PF15260	0.0
DOM_PF15504	0.0
DOM_PF13631	0.0
DOM_PF00510	0.0
DOM_PF00115	0.0
DOM_PF02312	0.0
DOM_PF03154	0.0
DOM_PF13853	0.0
Variant_Classification_IGR	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Missense_Mutation	0.0
DOM_PF04553	0.0
