Features	Importance
SIFT_pred	0.5451974502738866
LRT_pred	0.12281595049047384
MutationAssessor_pred	0.0786296976221675
DOM_PF00870	0.07096684882577924
DOM_PF00613	0.042016874630812884
Polyphen2_HVAR_pred	0.0340781482675009
Polyphen2_HDIV_pred	0.024189468831383076
MetaSVM_pred	0.02394534086343519
FATHMM_pred	0.021100970767813695
MetaLR_pred	0.016210318334754115
PROVEAN_pred	0.012828835352151407
MutationTaster_pred	0.004086889970377632
DOM_PF00028	0.0027172824081602397
fathmm-MKL_coding_pred	0.0012020664395202198
Variant_Classification_Translation_Start_Site	1.385692178380374e-05
DOM_PF00853	0.0
DOM_PF15504	0.0
DOM_PF15260	0.0
DOM_PF06229	0.0
DOM_PF00320	0.0
DOM_PF15991	0.0
DOM_PF09040	0.0
DOM_PF00125	0.0
DOM_PF06455	0.0
DOM_PF00146	0.0
DOM_PF00361	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF15444	0.0
DOM_PF07710	0.0
DOM_PF00792	0.0
DOM_PF13631	0.0
DOM_PF02192	0.0
DOM_PF00907	0.0
DOM_PF10409	0.0
DOM_PF16454	0.0
DOM_PF00119	0.0
DOM_PF00510	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Missense_Mutation	0.0
Variant_Classification_Silent	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Intron	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_Splice_Site	0.0
DOM_PF00115	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF03154	0.0
DOM_PF02312	0.0
DOM_PF04553	0.0
