Features	Importance
VEST3_score	0.16505998390021204
DOM_PF00870	0.14112397208747754
FATHMM_score	0.12524266505464313
fathmm-MKL_coding_score	0.08939610442080057
MetaLR_score	0.0854007259186066
integrated_fitCons_score	0.07055893863461427
MutationAssessor_score	0.047429080632469145
GERP++_RS	0.03067411918416104
phastCons7way_vertebrate	0.02647184495892383
MetaSVM_score	0.024302242685281025
SiPhy_29way_logOdds	0.02237857582998462
SIFT_score	0.02079916872671376
Polyphen2_HVAR_score	0.0187464873893071
CADD_raw	0.016320226679316773
PROVEAN_score	0.015350897600550927
phyloP7way_vertebrate	0.01398089445278679
phyloP20way_mammalian	0.012503220970668307
CADD_phred	0.011195400626567806
phastCons20way_mammalian	0.009376764825479559
MetaLR_pred	0.008927725008858483
DANN_score	0.008743125926849784
MutationAssessor_pred	0.007697939501379729
Polyphen2_HDIV_score	0.007135854906684514
FATHMM_pred	0.005649827494438277
LRT_pred	0.002517799342442501
DOM_PF00613	0.0024507391664254424
LRT_score	0.0024123803399402257
SIFT_pred	0.0018853334963248758
Polyphen2_HVAR_pred	0.0017015628815628813
MetaSVM_pred	0.001364334208517215
Polyphen2_HDIV_pred	0.001082788671023965
DOM_PF07710	0.0007035880299038194
DOM_PF00792	0.0006112750562878442
MutationTaster_pred	0.0005628654970760233
DOM_PF02192	0.00024154589371980676
DOM_PF15991	0.0
DOM_PF09040	0.0
DOM_PF06229	0.0
DOM_PF00320	0.0
DOM_PF06455	0.0
DOM_PF15260	0.0
DOM_PF15504	0.0
DOM_PF13631	0.0
DOM_PF00028	0.0
DOM_PF00125	0.0
DOM_PF10409	0.0
DOM_PF00146	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF16454	0.0
DOM_PF00115	0.0
DOM_PF00361	0.0
DOM_PF00853	0.0
DOM_PF15444	0.0
DOM_PF00907	0.0
DOM_PF00510	0.0
Variant_Classification_5'UTR	0.0
DOM_PF02312	0.0
DOM_PF03154	0.0
MutationTaster_score	0.0
PROVEAN_pred	0.0
fathmm-MKL_coding_pred	0.0
integrated_confidence_value	0.0
Variant_Classification_Missense_Mutation	0.0
Variant_Classification_Silent	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Intron	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF00119	0.0
DOM_PF04553	0.0
