Features	Importance
DOM_PF00870	0.34739999999999993
LRT_pred	0.16679999999999995
MetaLR_pred	0.0794
FATHMM_pred	0.07079999999999999
MutationAssessor_pred	0.0652
Polyphen2_HVAR_pred	0.04800000000000001
SIFT_pred	0.03740000000000001
MutationTaster_pred	0.035800000000000005
DOM_PF00613	0.03140000000000001
DOM_PF07710	0.03
PROVEAN_pred	0.025000000000000005
MetaSVM_pred	0.023000000000000003
fathmm-MKL_coding_pred	0.0186
Polyphen2_HDIV_pred	0.011800000000000001
DOM_PF02192	0.0044
DOM_PF00792	0.004200000000000001
DOM_PF00028	0.0004
Variant_Classification_Missense_Mutation	0.0004
DOM_PF06455	0.0
DOM_PF15504	0.0
DOM_PF15260	0.0
DOM_PF06229	0.0
DOM_PF00320	0.0
DOM_PF15991	0.0
DOM_PF09040	0.0
DOM_PF00125	0.0
DOM_PF00361	0.0
DOM_PF10409	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF15444	0.0
DOM_PF00907	0.0
DOM_PF16454	0.0
DOM_PF13631	0.0
DOM_PF00853	0.0
DOM_PF00146	0.0
DOM_PF00119	0.0
DOM_PF00510	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_Silent	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Intron	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Region	0.0
DOM_PF00115	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF03154	0.0
DOM_PF02312	0.0
DOM_PF04553	0.0
