Features	Importance
Closeness_centrality	0.4468751800780758
logFC	0.3133682952236621
logCPM	0.04909352891371059
Degree	0.03522574499819165
neigh_FC	0.028254336281323157
DOM_PF00907	0.023757769758796062
FATHMM_score	0.022435455291066192
Betweeness_centrality	0.020065925586359567
MetaLR_score	0.006347417606212597
MetaSVM_score	0.005445169844445867
VEST3_score	0.005191045735630625
GERP++_RS	0.00398738541346823
SiPhy_29way_logOdds	0.0030011379885506164
integrated_fitCons_score	0.002900707282318383
phastCons7way_vertebrate	0.0028105818253331863
DANN_score	0.002723914501395493
phastCons20way_mammalian	0.0026598753914244423
FATHMM_pred	0.002195104837958094
PROVEAN_score	0.001969912198692173
CADD_phred	0.001940979526597662
phyloP7way_vertebrate	0.0018722642392178003
hsa-mir-592	0.0018535207158736882
Polyphen2_HVAR_score	0.0015435677434294571
fathmm-MKL_coding_score	0.0014811539973157311
Polyphen2_HDIV_score	0.0014756653157816189
hsa-mir-301b	0.0011742677039308321
phyloP20way_mammalian	0.0011313170475275916
MutationAssessor_score	0.0011086489833842385
hsa-mir-375	0.0010620091405575888
LRT_score	0.0009348860271000609
SIFT_score	0.0008554443670835932
CADD_raw	0.000835175762869473
hsa-mir-190b	0.0008071896905960963
hsa-mir-429	0.0005208643217585787
LRT_pred	0.00040706167043312624
DOM_PF00870	0.0003685491486655304
Polyphen2_HVAR_pred	0.0003354133654783326
MetaLR_pred	0.00030135568063474806
Polyphen2_HDIV_pred	0.00028964269775133035
MutationTaster_score	0.00027012364135967244
neigh_CNV_normFC	0.00023979570713314547
DOM_PF00028	0.00015723771908679403
fathmm-MKL_coding_pred	0.00013204225352112675
CNV	0.00012905539134781832
neigh_CNV_FC	0.00010600523993381134
MutationAssessor_pred	8.243796543101281e-05
DOM_PF00613	7.860722794995713e-05
PROVEAN_pred	6.872852233676973e-05
MutationTaster_pred	6.47249190938511e-05
SIFT_pred	6.377551020408162e-05
DOM_PF04553	0.0
DOM_PF02192	0.0
DOM_PF16454	0.0
DOM_PF10409	0.0
DOM_PF00792	0.0
DOM_PF00361	0.0
DOM_PF00853	0.0
Variant_Classification_Intron	0.0
DOM_PF15444	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_Silent	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Missense_Mutation	0.0
integrated_confidence_value	0.0
MetaSVM_pred	0.0
FC_Degree	0.0
FC_Closeness_centrality	0.0
FC_Betweeness_centrality	0.0
DOM_PF07710	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF00119	0.0
DOM_PF03154	0.0
DOM_PF02312	0.0
DOM_PF00115	0.0
DOM_PF00510	0.0
DOM_PF13631	0.0
DOM_PF15504	0.0
DOM_PF15260	0.0
DOM_PF06229	0.0
DOM_PF00320	0.0
DOM_PF15991	0.0
DOM_PF09040	0.0
DOM_PF00125	0.0
DOM_PF06455	0.0
DOM_PF00146	0.0
Variant_Classification_Nonstop_Mutation	0.0
