Features	Importance
Closeness_centrality	0.4823864943898561
neigh_FC	0.1576980310054764
Degree	0.10649578097545027
logCPM	0.09749558947383993
logFC	0.07896697815200057
Betweeness_centrality	0.06565553733751638
neigh_CNV_FC	0.0035954172407007636
DOM_PF00907	0.0014673576413627347
neigh_CNV_normFC	0.0012367946831809674
hsa-mir-190b	0.0008564740233965155
hsa-mir-375	0.0007054130102063909
hsa-mir-429	0.000600875327983422
hsa-mir-592	0.0005744502088334486
hsa-mir-301b	0.0005159348895359403
FC_Degree	0.00020088536925561443
FC_Betweeness_centrality	0.00019582184063004544
FC_Closeness_centrality	0.00015731392489455682
CNV	0.0001569809600148962
Variant_Classification_Splice_Site	0.00014563780557383808
MutationAssessor_pred	0.00012584236847286938
Variant_Classification_Nonsense_Mutation	0.0001188584020457325
Variant_Classification_Silent	9.618632484556048e-05
Variant_Classification_Frame_Shift_Ins	7.644655021195277e-05
Variant_Classification_5'UTR	6.899433758874228e-05
PROVEAN_pred	5.623132190775329e-05
Polyphen2_HDIV_pred	4.195434544993397e-05
SIFT_pred	3.88995072555757e-05
MetaSVM_pred	3.860823456181576e-05
LRT_pred	3.604039837930757e-05
MetaLR_pred	3.325851188059599e-05
FATHMM_pred	2.935051229669896e-05
fathmm-MKL_coding_pred	2.8353773534243476e-05
MutationTaster_pred	2.5012624859268173e-05
Polyphen2_HVAR_pred	2.2659014052554945e-05
Variant_Classification_Missense_Mutation	1.8659675654774248e-05
Variant_Classification_Frame_Shift_Del	1.749620497048067e-05
Variant_Classification_Intron	7.765036864373886e-06
DOM_PF00320	4.8034116205559076e-06
Variant_Classification_3'UTR	3.559537755309416e-06
DOM_PF00792	1.8431953787101445e-06
DOM_PF00028	1.408450704225352e-06
DOM_PF00361	0.0
DOM_PF00853	0.0
Variant_Classification_Nonstop_Mutation	0.0
DOM_PF15444	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_RNA	0.0
DOM_PF04553	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_3'Flank	0.0
DOM_PF00613	0.0
DOM_PF10409	0.0
DOM_PF16454	0.0
DOM_PF02192	0.0
DOM_PF15260	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF00119	0.0
DOM_PF03154	0.0
DOM_PF02312	0.0
DOM_PF00115	0.0
DOM_PF00510	0.0
DOM_PF13631	0.0
Variant_Classification_Translation_Start_Site	0.0
DOM_PF06229	0.0
Variant_Classification_In_Frame_Ins	0.0
DOM_PF15991	0.0
DOM_PF09040	0.0
DOM_PF00125	0.0
DOM_PF06455	0.0
DOM_PF00146	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF15504	0.0
