Features	Importance
Degree	0.3074336485953351
Closeness_centrality	0.26800225573282876
neigh_FC	0.13900372997019306
Betweeness_centrality	0.09743260270197919
logFC	0.04938357689445061
integrated_fitCons_score	0.04553975965991513
logCPM	0.04007755270898211
FATHMM_score	0.007832816729705656
GERP++_RS	0.006933207318833796
VEST3_score	0.004851697649261953
MetaSVM_score	0.0032331017762037705
phastCons7way_vertebrate	0.003074835416934424
MetaLR_score	0.0029478455129942687
fathmm-MKL_coding_score	0.0027581623662024006
SiPhy_29way_logOdds	0.002638758502621204
MutationAssessor_score	0.0023140618617260803
phastCons20way_mammalian	0.0021096141294952003
PROVEAN_score	0.0012393524706269775
DANN_score	0.0012097265859260917
hsa-mir-429	0.00118956080023505
CADD_raw	0.0010946529387807638
hsa-mir-375	0.000886150960963556
SIFT_score	0.0008041803649196093
MutationTaster_score	0.0007920153073695128
Polyphen2_HVAR_score	0.0007386611349126299
hsa-mir-190b	0.0006814259301200609
phyloP20way_mammalian	0.000663805018677374
CADD_phred	0.0006012464885000312
LRT_score	0.0005369686969661179
phyloP7way_vertebrate	0.0004937765599363732
fathmm-MKL_coding_pred	0.0004484960958101046
hsa-mir-592	0.00042798925498374314
MetaSVM_pred	0.00042582528839845373
LRT_pred	0.00037254786386035893
FC_Degree	0.000327331338523895
hsa-mir-301b	0.0002992946313462571
FC_Closeness_centrality	0.00028069886657193494
DOM_PF00028	0.00025527381129920054
neigh_CNV_FC	0.00025171262176828407
PROVEAN_pred	0.00014153734547916268
Polyphen2_HDIV_score	0.00012513971019433883
MutationAssessor_pred	0.00010097533612016534
FC_Betweeness_centrality	4.442705004718008e-05
DOM_PF00792	0.0
DOM_PF00125	0.0
DOM_PF09040	0.0
DOM_PF06455	0.0
DOM_PF00146	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF04553	0.0
DOM_PF16454	0.0
DOM_PF02192	0.0
DOM_PF00613	0.0
DOM_PF10409	0.0
DOM_PF00361	0.0
DOM_PF00853	0.0
DOM_PF00907	0.0
DOM_PF15444	0.0
DOM_PF00320	0.0
DOM_PF15991	0.0
Variant_Classification_Nonstop_Mutation	0.0
DOM_PF06229	0.0
DOM_PF15260	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Intron	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Silent	0.0
Variant_Classification_Missense_Mutation	0.0
CNV	0.0
integrated_confidence_value	0.0
MetaLR_pred	0.0
FATHMM_pred	0.0
MutationTaster_pred	0.0
Polyphen2_HVAR_pred	0.0
Polyphen2_HDIV_pred	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
DOM_PF00119	0.0
DOM_PF15504	0.0
DOM_PF13631	0.0
DOM_PF00510	0.0
DOM_PF00115	0.0
DOM_PF02312	0.0
DOM_PF03154	0.0
DOM_PF13853	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_IGR	0.0
Variant_Classification_In_Frame_Ins	0.0
SIFT_pred	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_5'Flank	0.0
neigh_CNV_normFC	0.0
