Features	Importance
Closeness_centrality	0.18069999999999994
Degree	0.15709999999999993
hsa-mir-592	0.12829999999999991
SIFT_pred	0.0932999999999999
Betweeness_centrality	0.09059999999999988
logCPM	0.08229999999999993
logFC	0.04079999999999993
MutationAssessor_pred	0.029499999999999985
hsa-mir-190b	0.021800000000000007
hsa-mir-375	0.020900000000000002
LRT_pred	0.020600000000000014
hsa-mir-429	0.019600000000000013
hsa-mir-301b	0.018000000000000013
neigh_FC	0.016100000000000007
MutationTaster_pred	0.014500000000000004
PROVEAN_pred	0.011100000000000007
Polyphen2_HVAR_pred	0.010100000000000007
MetaSVM_pred	0.009900000000000004
fathmm-MKL_coding_pred	0.008800000000000004
FATHMM_pred	0.008700000000000005
MetaLR_pred	0.008300000000000004
CNV	0.0032000000000000006
Polyphen2_HDIV_pred	0.0026
Variant_Classification_Missense_Mutation	0.0011999999999999997
Variant_Classification_Frame_Shift_Del	0.0006
Variant_Classification_Silent	0.0005
DOM_PF00613	0.0004
neigh_CNV_FC	0.0002
neigh_CNV_normFC	0.0002
FC_Betweeness_centrality	0.0001
Variant_Classification_IGR	0.0
Variant_Classification_Splice_Region	0.0
DOM_PF10409	0.0
DOM_PF00361	0.0
DOM_PF00853	0.0
DOM_PF00907	0.0
DOM_PF15444	0.0
DOM_PF04553	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_Splice_Site	0.0
DOM_PF13853	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_RNA	0.0
FC_Degree	0.0
FC_Closeness_centrality	0.0
Variant_Classification_Intron	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Nonstop_Mutation	0.0
DOM_PF02192	0.0
DOM_PF16454	0.0
DOM_PF06229	0.0
DOM_PF00119	0.0
DOM_PF03154	0.0
DOM_PF02312	0.0
DOM_PF00115	0.0
DOM_PF00510	0.0
DOM_PF00028	0.0
DOM_PF13631	0.0
Variant_Classification_In_Frame_Ins	0.0
DOM_PF15260	0.0
DOM_PF00320	0.0
DOM_PF00792	0.0
DOM_PF15991	0.0
DOM_PF09040	0.0
DOM_PF00125	0.0
DOM_PF06455	0.0
DOM_PF00146	0.0
DOM_PF00507	0.0
DOM_PF01059	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF15504	0.0
