Features	Importance
Variant_Classification_Missense_Mutation	0.10319999999999997
VEST3_score	0.06009999999999988
SIFT_score	0.05659999999999989
FATHMM_score	0.0549999999999999
integrated_fitCons_score	0.051999999999999894
SiPhy_29way_logOdds	0.04769999999999991
fathmm-MKL_coding_score	0.0452999999999999
PROVEAN_score	0.042299999999999914
MetaSVM_score	0.04109999999999991
MutationAssessor_score	0.03949999999999991
phyloP20way_mammalian	0.03889999999999989
GERP++_RS	0.033499999999999946
phastCons7way_vertebrate	0.03349999999999993
CADD_raw	0.03329999999999993
MetaLR_score	0.023299999999999984
Polyphen2_HVAR_score	0.023199999999999988
DOM_PF00071	0.020000000000000014
DOM_PF00613	0.020000000000000014
DOM_PF00870	0.020000000000000014
MutationTaster_score	0.019900000000000015
Variant_Classification_Silent	0.019700000000000016
DOM_PF02192	0.019700000000000016
DOM_PF03166	0.019600000000000017
Variant_Classification_Nonsense_Mutation	0.018500000000000013
CADD_phred	0.01830000000000001
phyloP7way_vertebrate	0.01720000000000001
DANN_score	0.015100000000000011
phastCons20way_mammalian	0.01400000000000001
LRT_score	0.01380000000000001
Variant_Classification_Frame_Shift_Del	0.008600000000000005
Variant_Classification_Frame_Shift_Ins	0.008500000000000006
Polyphen2_HDIV_score	0.007700000000000005
DOM_PF07710	0.006100000000000003
LRT_pred	0.003500000000000002
MutationAssessor_pred	0.0007000000000000001
DOM_PF00028	0.0005
Variant_Classification_In_Frame_Del	0.0001
DOM_PF08718	0.0
DOM_PF11411	0.0
DOM_PF07142	0.0
DOM_PF14825	0.0
DOM_PF15266	0.0
DOM_PF06346	0.0
DOM_PF10513	0.0
DOM_PF16692	0.0
DOM_PF16551	0.0
DOM_PF15444	0.0
DOM_PF00520	0.0
DOM_PF16210	0.0
DOM_PF13885	0.0
DOM_PF12721	0.0
DOM_PF04680	0.0
DOM_PF00129	0.0
DOM_PF15692	0.0
DOM_PF16629	0.0
DOM_PF06777	0.0
Variant_Classification_3'UTR	0.0
DOM_PF02166	0.0
Variant_Classification_5'UTR	0.0
Polyphen2_HDIV_pred	0.0
Polyphen2_HVAR_pred	0.0
MutationTaster_pred	0.0
FATHMM_pred	0.0
PROVEAN_pred	0.0
fathmm-MKL_coding_pred	0.0
MetaSVM_pred	0.0
MetaLR_pred	0.0
integrated_confidence_value	0.0
Variant_Classification_Intron	0.0
Variant_Classification_RNA	0.0
SIFT_pred	0.0
DOM_PF16633	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF00001	0.0
DOM_PF13853	0.0
DOM_PF16630	0.0
DOM_PF12529	0.0
