Features	Importance
DOM_PF00071	0.2021807303879436
DOM_PF00870	0.09993751750083797
Variant_Classification_Silent	0.07309024140927332
Variant_Classification_Missense_Mutation	0.06847225776814457
Variant_Classification_Nonsense_Mutation	0.06241215162231378
DOM_PF00613	0.05950692266860309
MutationAssessor_pred	0.047671628382600834
LRT_pred	0.04522866654347132
Polyphen2_HVAR_pred	0.03040632804524277
MutationTaster_pred	0.026694318321556873
PROVEAN_pred	0.025574614695712573
Polyphen2_HDIV_pred	0.025574040622804474
SIFT_pred	0.025571727809999632
FATHMM_pred	0.024617256609764736
Variant_Classification_Frame_Shift_Del	0.023604952237978892
Variant_Classification_Frame_Shift_Ins	0.02340567708285961
fathmm-MKL_coding_pred	0.021193582286915542
DOM_PF03166	0.01917349593546773
DOM_PF02192	0.016775167430244722
MetaLR_pred	0.014379026942005652
MetaSVM_pred	0.01334019783787515
Variant_Classification_3'UTR	0.009296528297124813
Variant_Classification_Intron	0.007924087723295144
Variant_Classification_Splice_Site	0.006632392147920791
Variant_Classification_In_Frame_Del	0.00658661348656488
Variant_Classification_5'UTR	0.005342071181886305
DOM_PF00028	0.0053347875249347065
Variant_Classification_Splice_Region	0.0034770589057776602
DOM_PF07710	0.002494975083059583
DOM_PF00520	0.0015128258620699972
Variant_Classification_5'Flank	0.0009781200463949114
Variant_Classification_Translation_Start_Site	0.0004881100564815201
Variant_Classification_In_Frame_Ins	0.0004674416055428296
Variant_Classification_3'Flank	0.00033089100642130065
Variant_Classification_Nonstop_Mutation	0.00026846042707279416
DOM_PF06346	4.774928882956223e-05
DOM_PF00001	7.385215006484845e-06
DOM_PF16551	0.0
DOM_PF12721	0.0
DOM_PF04680	0.0
DOM_PF15692	0.0
DOM_PF00129	0.0
DOM_PF15444	0.0
DOM_PF13885	0.0
DOM_PF16210	0.0
DOM_PF13853	0.0
DOM_PF06777	0.0
DOM_PF08718	0.0
DOM_PF16692	0.0
DOM_PF10513	0.0
DOM_PF15266	0.0
DOM_PF14825	0.0
DOM_PF07142	0.0
DOM_PF11411	0.0
DOM_PF16629	0.0
DOM_PF02166	0.0
DOM_PF16633	0.0
DOM_PF16630	0.0
Variant_Classification_IGR	0.0
Variant_Classification_RNA	0.0
DOM_PF12529	0.0
