Features	Importance
DOM_PF00071	0.36315272105984453
Variant_Classification_Nonsense_Mutation	0.13403747419519468
DOM_PF00870	0.13358042187408173
Variant_Classification_Missense_Mutation	0.13061677290036447
Variant_Classification_Silent	0.11568512905920585
DOM_PF00613	0.060178679509945814
Variant_Classification_Frame_Shift_Ins	0.01898080915898501
Variant_Classification_Frame_Shift_Del	0.010521983374215496
DOM_PF02192	0.004596142270879358
LRT_pred	0.0034541283627234944
MutationTaster_pred	0.0031933240988892882
DOM_PF03166	0.0025245631012932785
fathmm-MKL_coding_pred	0.002234265132382129
MetaSVM_pred	0.0019361313373067526
Polyphen2_HVAR_pred	0.0018157661721661025
MutationAssessor_pred	0.0018094781149768139
Variant_Classification_3'UTR	0.0015285054484368299
Polyphen2_HDIV_pred	0.0013968586229311448
PROVEAN_pred	0.0013758715952767767
Variant_Classification_Intron	0.0011820646509280725
FATHMM_pred	0.0010609990287121795
SIFT_pred	0.0009913345261596857
MetaLR_pred	0.0009613747949050852
Variant_Classification_5'UTR	0.0009040792088559147
DOM_PF00520	0.000901236111447914
Variant_Classification_Splice_Region	0.0005744593346398472
DOM_PF00028	0.0004152087813040386
DOM_PF07710	0.0003902181739477025
DOM_PF08718	0.0
DOM_PF06777	0.0
DOM_PF16210	0.0
DOM_PF13885	0.0
DOM_PF00129	0.0
DOM_PF16551	0.0
DOM_PF15444	0.0
DOM_PF15692	0.0
DOM_PF04680	0.0
DOM_PF10513	0.0
DOM_PF12721	0.0
DOM_PF16692	0.0
DOM_PF13853	0.0
DOM_PF06346	0.0
DOM_PF15266	0.0
Variant_Classification_RNA	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF00001	0.0
DOM_PF16630	0.0
DOM_PF16633	0.0
DOM_PF02166	0.0
DOM_PF16629	0.0
DOM_PF11411	0.0
DOM_PF07142	0.0
DOM_PF14825	0.0
DOM_PF12529	0.0
