Features	Importance
MutationAssessor_pred	0.1111790131260422
DOM_PF00071	0.10276803715478731
LRT_pred	0.09326677300607572
Polyphen2_HDIV_pred	0.06761665879305763
Polyphen2_HVAR_pred	0.0662848979244949
PROVEAN_pred	0.05506242075898105
SIFT_pred	0.054437521390298574
MutationTaster_pred	0.05362910885330789
FATHMM_pred	0.04982597281695854
Variant_Classification_Nonsense_Mutation	0.04144882435526875
fathmm-MKL_coding_pred	0.034567092123909605
DOM_PF00613	0.028640403960647952
MetaLR_pred	0.02741558150287173
Variant_Classification_Missense_Mutation	0.026175351674093978
MetaSVM_pred	0.025259828536908793
Variant_Classification_Frame_Shift_Del	0.02366700310101678
Variant_Classification_Silent	0.02183847790735256
Variant_Classification_Frame_Shift_Ins	0.012409115532697171
DOM_PF00028	0.012203172165149646
DOM_PF00520	0.01212204180211237
Variant_Classification_Intron	0.01106946197355983
Variant_Classification_3'UTR	0.00971113288405944
DOM_PF00001	0.009227142921736457
DOM_PF03166	0.007913187532011496
Variant_Classification_Splice_Site	0.007428836823961504
DOM_PF02192	0.007210499042817219
Variant_Classification_5'UTR	0.006883497893508894
Variant_Classification_Splice_Region	0.00603605499675731
Variant_Classification_In_Frame_Ins	0.00402839140810494
DOM_PF02166	0.003035724123752999
Variant_Classification_In_Frame_Del	0.0027854977638859754
Variant_Classification_3'Flank	0.001680894464046588
Variant_Classification_5'Flank	0.0012386865190377393
Variant_Classification_Translation_Start_Site	0.001233154164521527
DOM_PF06346	0.00042537302141987834
DOM_PF00870	0.0002578421383558938
Variant_Classification_Nonstop_Mutation	1.732584242913534e-05
DOM_PF16551	0.0
DOM_PF12721	0.0
DOM_PF15444	0.0
DOM_PF07710	0.0
DOM_PF04680	0.0
DOM_PF15692	0.0
DOM_PF00129	0.0
DOM_PF16210	0.0
DOM_PF13885	0.0
DOM_PF13853	0.0
DOM_PF06777	0.0
DOM_PF08718	0.0
DOM_PF16692	0.0
DOM_PF10513	0.0
DOM_PF15266	0.0
DOM_PF14825	0.0
DOM_PF07142	0.0
DOM_PF11411	0.0
DOM_PF16629	0.0
DOM_PF16633	0.0
DOM_PF16630	0.0
Variant_Classification_IGR	0.0
Variant_Classification_RNA	0.0
DOM_PF12529	0.0
