Features	Importance
DOM_PF00071	0.4718246505626659
Variant_Classification_Nonsense_Mutation	0.1691643658050398
DOM_PF00613	0.12390371636347491
Variant_Classification_Frame_Shift_Del	0.08740153160267823
Variant_Classification_Missense_Mutation	0.03585812062421045
Variant_Classification_Silent	0.022558471573031223
Variant_Classification_Frame_Shift_Ins	0.010816297410331773
DOM_PF00001	0.008630223924114996
DOM_PF00520	0.007134701308786126
Variant_Classification_3'UTR	0.006611185179487442
MutationAssessor_pred	0.006201305263480352
Polyphen2_HVAR_pred	0.0058967661625205295
DOM_PF00028	0.004526298389973791
LRT_pred	0.004251354617911217
FATHMM_pred	0.004163726088370169
DOM_PF02192	0.004022610088707419
MutationTaster_pred	0.003962720193964172
MetaSVM_pred	0.0036934077724955143
MetaLR_pred	0.0033121029112043294
Polyphen2_HDIV_pred	0.002994733859908073
fathmm-MKL_coding_pred	0.002953960944652287
DOM_PF03166	0.0026339464052285645
PROVEAN_pred	0.0021292044116718086
SIFT_pred	0.001938076077091923
Variant_Classification_Intron	0.0014056875082367488
Variant_Classification_5'UTR	0.0010380443118170734
Variant_Classification_In_Frame_Ins	0.0009727906389450906
DOM_PF16551	0.0
DOM_PF08718	0.0
DOM_PF06777	0.0
DOM_PF16210	0.0
DOM_PF15444	0.0
DOM_PF13885	0.0
DOM_PF00129	0.0
DOM_PF07710	0.0
DOM_PF15692	0.0
DOM_PF10513	0.0
DOM_PF12721	0.0
DOM_PF04680	0.0
DOM_PF00870	0.0
DOM_PF16692	0.0
DOM_PF13853	0.0
DOM_PF06346	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_RNA	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_IGR	0.0
DOM_PF15266	0.0
DOM_PF16630	0.0
DOM_PF16633	0.0
DOM_PF02166	0.0
DOM_PF16629	0.0
DOM_PF11411	0.0
DOM_PF07142	0.0
DOM_PF14825	0.0
DOM_PF12529	0.0
