Features	Importance
Closeness_centrality	0.22293279086410692
Betweeness_centrality	0.2058960533385742
Degree	0.1765153997585767
logCPM	0.16730674264166814
logFC	0.053275679755741344
Variant_Classification_Missense_Mutation	0.04179245165556312
neigh_FC	0.03531319870875976
DOM_PF00071	0.019917206255215016
DOM_PF00870	0.015050835482405238
Variant_Classification_Frame_Shift_Ins	0.008246435839255389
Variant_Classification_Nonsense_Mutation	0.004945834660482721
Variant_Classification_Silent	0.004875005200498063
hsa-mir-326	0.0025737247714910814
VEST3_score	0.0023341643615119247
integrated_fitCons_score	0.00232252393927189
hsa-mir-760	0.0021382150619287713
hsa-mir-3653	0.002061619216508106
CADD_raw	0.0019064665966924083
MetaLR_score	0.001884272757028103
hsa-mir-1249	0.0015268730867748445
GERP++_RS	0.0015043326432643378
FATHMM_score	0.001479803383264555
PROVEAN_score	0.001441726737664506
hsa-mir-375	0.0014068651722148927
phastCons7way_vertebrate	0.0013651801361021175
fathmm-MKL_coding_score	0.0013574122823032395
SIFT_score	0.0012419876387547884
MutationAssessor_score	0.0011570571703762161
phyloP20way_mammalian	0.0011447220844839237
hsa-mir-2110	0.0011128885943460303
MetaSVM_score	0.0010808979816356447
phastCons20way_mammalian	0.0010037810745438423
DANN_score	0.0010009728514455132
DOM_PF00613	0.000970333427579149
LRT_score	0.0008303331150106787
hsa-mir-1976	0.0008076671503861683
Variant_Classification_Frame_Shift_Del	0.0007010453363768153
CADD_phred	0.000641950501017438
SiPhy_29way_logOdds	0.0006030384292799694
phyloP7way_vertebrate	0.000591006279957425
MutationAssessor_pred	0.0005840062395439604
Polyphen2_HVAR_score	0.0005630980181989763
Polyphen2_HDIV_score	0.0005429688991793527
DOM_PF03166	0.0005403401950377158
hsa-mir-484	0.0005387123808389337
hsa-mir-1538	0.0005156720837503912
MutationTaster_score	0.00036057312194687376
Polyphen2_HDIV_pred	0.0002867162926863796
neigh_CNV_normFC	0.00028659226146692505
FC_Betweeness_centrality	0.00028452549615015833
PROVEAN_pred	0.0002756990942629738
fathmm-MKL_coding_pred	0.0002533496703529916
LRT_pred	0.00019633975599153401
Variant_Classification_Splice_Site	0.00015709705887086603
hsa-mir-346	0.00014771136689205455
neigh_CNV_FC	8.305061669651522e-05
FC_Degree	7.076764315374743e-05
Polyphen2_HVAR_pred	5.4283862918692964e-05
DOM_PF12529	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Translation_Start_Site	0.0
DOM_PF15444	0.0
Variant_Classification_RNA	0.0
DOM_PF12721	0.0
DOM_PF16551	0.0
Variant_Classification_5'UTR	0.0
integrated_confidence_value	0.0
Variant_Classification_Intron	0.0
CNV	0.0
DOM_PF02192	0.0
MetaLR_pred	0.0
MetaSVM_pred	0.0
FATHMM_pred	0.0
MutationTaster_pred	0.0
FC_Closeness_centrality	0.0
Variant_Classification_Splice_Region	0.0
DOM_PF07710	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
SIFT_pred	0.0
DOM_PF13853	0.0
DOM_PF16630	0.0
DOM_PF16633	0.0
DOM_PF02166	0.0
DOM_PF16629	0.0
DOM_PF00028	0.0
DOM_PF11411	0.0
DOM_PF07142	0.0
DOM_PF14825	0.0
DOM_PF15266	0.0
DOM_PF06346	0.0
DOM_PF10513	0.0
DOM_PF16692	0.0
DOM_PF08718	0.0
DOM_PF06777	0.0
DOM_PF00520	0.0
DOM_PF16210	0.0
DOM_PF13885	0.0
Variant_Classification_In_Frame_Del	0.0
DOM_PF00129	0.0
DOM_PF15692	0.0
DOM_PF04680	0.0
DOM_PF00001	0.0
