Features	Importance
Closeness_centrality	0.5038130583185333
logCPM	0.34371371221744995
Betweeness_centrality	0.05971603181634392
Degree	0.054413633962887675
logFC	0.019098065290984328
neigh_FC	0.006658526425526318
neigh_CNV_normFC	0.0024312730762310344
hsa-mir-326	0.0015650093377384503
hsa-mir-3653	0.0014796125302730513
hsa-mir-375	0.0010076179056346438
hsa-mir-484	0.0007763164680093462
neigh_CNV_FC	0.0006247228630818843
Variant_Classification_Silent	0.0004805326197286603
hsa-mir-1249	0.0004579606190398957
DOM_PF00870	0.00045427379779079365
CNV	0.00043181327111042054
hsa-mir-760	0.0004314471220557041
hsa-mir-1976	0.00035673514347752376
Variant_Classification_Translation_Start_Site	0.00033607245219379513
MetaLR_pred	0.00033433114009638956
hsa-mir-2110	0.0002273588480485031
hsa-mir-1538	0.00019792399718508092
Variant_Classification_Frame_Shift_Del	0.00012785388127853884
DOM_PF00071	0.00012759180638120967
Variant_Classification_Splice_Region	0.0001264980884025904
Variant_Classification_3'UTR	0.00012611998768971127
Variant_Classification_Frame_Shift_Ins	0.00012242399510304015
FATHMM_pred	0.00010958904109589039
Variant_Classification_Missense_Mutation	9.236453201970443e-05
hsa-mir-346	8.207000378632865e-05
Polyphen2_HVAR_pred	6.0827250608272495e-05
Variant_Classification_Splice_Site	1.8632190213960167e-05
DOM_PF13885	0.0
DOM_PF00613	0.0
DOM_PF00129	0.0
DOM_PF15692	0.0
DOM_PF04680	0.0
DOM_PF07710	0.0
DOM_PF02192	0.0
FC_Betweeness_centrality	0.0
DOM_PF16551	0.0
DOM_PF12721	0.0
DOM_PF15444	0.0
DOM_PF12529	0.0
FC_Closeness_centrality	0.0
FC_Degree	0.0
DOM_PF03166	0.0
SIFT_pred	0.0
DOM_PF16210	0.0
Variant_Classification_Intron	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_IGR	0.0
MetaSVM_pred	0.0
fathmm-MKL_coding_pred	0.0
PROVEAN_pred	0.0
MutationAssessor_pred	0.0
MutationTaster_pred	0.0
LRT_pred	0.0
Variant_Classification_In_Frame_Ins	0.0
DOM_PF00001	0.0
DOM_PF00520	0.0
DOM_PF14825	0.0
DOM_PF06777	0.0
DOM_PF08718	0.0
DOM_PF16692	0.0
DOM_PF10513	0.0
Polyphen2_HDIV_pred	0.0
DOM_PF15266	0.0
DOM_PF07142	0.0
DOM_PF13853	0.0
DOM_PF11411	0.0
DOM_PF00028	0.0
DOM_PF16629	0.0
DOM_PF02166	0.0
DOM_PF16633	0.0
DOM_PF16630	0.0
DOM_PF06346	0.0
