Features	Importance
Betweeness_centrality	0.8050399999999989
logCPM	0.06883999999999989
Closeness_centrality	0.05587999999999973
Degree	0.022199999999999893
neigh_FC	0.013439999999999978
logFC	0.011439999999999971
Variant_Classification_Missense_Mutation	0.004600000000000003
neigh_CNV_normFC	0.0035200000000000023
DOM_PF00071	0.002200000000000001
hsa-mir-1249	0.0017600000000000007
hsa-mir-484	0.0013600000000000003
hsa-mir-375	0.0013200000000000004
neigh_CNV_FC	0.0012800000000000005
hsa-mir-3653	0.0012000000000000003
hsa-mir-2110	0.0011600000000000002
hsa-mir-760	0.0011600000000000002
CNV	0.0008400000000000001
hsa-mir-1538	0.00064
hsa-mir-326	0.00056
Variant_Classification_Silent	0.00052
hsa-mir-1976	0.00035999999999999997
Variant_Classification_Intron	0.00016
MutationAssessor_pred	0.00011999999999999999
LRT_pred	8e-05
Variant_Classification_Splice_Site	8e-05
hsa-mir-346	4e-05
Variant_Classification_Splice_Region	4e-05
Variant_Classification_Nonsense_Mutation	4e-05
FATHMM_pred	4e-05
MutationTaster_pred	4e-05
Polyphen2_HVAR_pred	4e-05
DOM_PF13885	0.0
DOM_PF00613	0.0
DOM_PF00129	0.0
DOM_PF15692	0.0
DOM_PF04680	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF02192	0.0
DOM_PF12721	0.0
DOM_PF16551	0.0
FC_Degree	0.0
DOM_PF15444	0.0
DOM_PF12529	0.0
FC_Betweeness_centrality	0.0
FC_Closeness_centrality	0.0
DOM_PF03166	0.0
SIFT_pred	0.0
DOM_PF16210	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_Frame_Shift_Ins	0.0
Variant_Classification_IGR	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Frame_Shift_Del	0.0
MetaLR_pred	0.0
MetaSVM_pred	0.0
fathmm-MKL_coding_pred	0.0
PROVEAN_pred	0.0
Variant_Classification_In_Frame_Ins	0.0
DOM_PF00001	0.0
DOM_PF00520	0.0
DOM_PF14825	0.0
DOM_PF06777	0.0
DOM_PF08718	0.0
DOM_PF16692	0.0
DOM_PF10513	0.0
Polyphen2_HDIV_pred	0.0
DOM_PF15266	0.0
DOM_PF07142	0.0
DOM_PF13853	0.0
DOM_PF11411	0.0
DOM_PF00028	0.0
DOM_PF16629	0.0
DOM_PF02166	0.0
DOM_PF16633	0.0
DOM_PF16630	0.0
DOM_PF06346	0.0
