Features	Importance
Closeness_centrality	0.3193260223126754
Betweeness_centrality	0.2158949630815701
Degree	0.18942427685631366
logCPM	0.18325059731035315
logFC	0.05258215505079509
neigh_FC	0.016562109893764568
DOM_PF00071	0.009182485948615721
DOM_PF00870	0.0040339328502039295
Variant_Classification_Nonsense_Mutation	0.0016783199686201066
Variant_Classification_Missense_Mutation	0.0015734588784882494
Variant_Classification_Frame_Shift_Ins	0.0008925831395509014
neigh_CNV_FC	0.0007769523859587585
neigh_CNV_normFC	0.0005664982250370314
hsa-mir-2110	0.0003706881895686358
Variant_Classification_Frame_Shift_Del	0.00035324904135188744
hsa-mir-375	0.0003442062203857052
hsa-mir-3653	0.000341233183041987
hsa-mir-760	0.00030930281925927876
MutationAssessor_pred	0.0003027103750021975
hsa-mir-484	0.00025096463345019665
Variant_Classification_Silent	0.0002458695113891837
hsa-mir-1249	0.0002220353742544101
CNV	0.000200477679718568
hsa-mir-326	0.00019894201216750292
LRT_pred	0.00013933324880151195
hsa-mir-346	0.00012486385648746335
hsa-mir-1976	9.867688764945714e-05
DOM_PF00613	7.563087683158913e-05
PROVEAN_pred	6.703496549301215e-05
FC_Betweeness_centrality	5.906937624008664e-05
Variant_Classification_Translation_Start_Site	5.7963567440563884e-05
Variant_Classification_Nonstop_Mutation	5.686215243811338e-05
hsa-mir-1538	5.6214257403592284e-05
Polyphen2_HDIV_pred	4.8742239664738686e-05
FC_Closeness_centrality	4.6864660838714836e-05
Variant_Classification_3'UTR	4.6524900427620225e-05
FATHMM_pred	4.624239252169622e-05
DOM_PF07710	3.600136332743569e-05
SIFT_pred	3.272974544148487e-05
MutationTaster_pred	2.5131781358947644e-05
Polyphen2_HVAR_pred	2.39812033467577e-05
fathmm-MKL_coding_pred	2.227027288702282e-05
FC_Degree	1.3204285895362657e-05
MetaSVM_pred	1.2335649935441449e-05
Variant_Classification_Splice_Site	1.1930138864922503e-05
Variant_Classification_Intron	7.807795084923613e-06
Variant_Classification_5'UTR	6.549440083240778e-06
DOM_PF14825	0.0
Variant_Classification_In_Frame_Del	0.0
DOM_PF16630	0.0
DOM_PF13853	0.0
DOM_PF00001	0.0
Variant_Classification_IGR	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_Splice_Region	0.0
DOM_PF15266	0.0
Variant_Classification_RNA	0.0
MetaLR_pred	0.0
DOM_PF16633	0.0
DOM_PF12529	0.0
DOM_PF15444	0.0
DOM_PF03166	0.0
DOM_PF07142	0.0
DOM_PF10513	0.0
DOM_PF16692	0.0
DOM_PF08718	0.0
DOM_PF06777	0.0
DOM_PF00520	0.0
DOM_PF16210	0.0
DOM_PF13885	0.0
DOM_PF00129	0.0
DOM_PF02166	0.0
DOM_PF15692	0.0
DOM_PF04680	0.0
DOM_PF11411	0.0
DOM_PF00028	0.0
DOM_PF02192	0.0
DOM_PF16629	0.0
DOM_PF16551	0.0
DOM_PF12721	0.0
DOM_PF06346	0.0
