Features	Importance
LRT_pred	0.09247999999999981
MutationAssessor_pred	0.07559999999999972
MutationTaster_pred	0.0718399999999997
Polyphen2_HDIV_pred	0.04491999999999966
SIFT_pred	0.044039999999999656
Variant_Classification_Frame_Shift_Del	0.04195999999999958
FATHMM_pred	0.041519999999999654
MetaSVM_pred	0.0400799999999997
PROVEAN_pred	0.03995999999999968
Polyphen2_HVAR_pred	0.038039999999999706
Variant_Classification_Silent	0.03727999999999958
Variant_Classification_Frame_Shift_Ins	0.036479999999999575
Variant_Classification_Missense_Mutation	0.027719999999999707
Variant_Classification_Splice_Site	0.027639999999999693
Variant_Classification_In_Frame_Del	0.02671999999999969
Variant_Classification_Nonsense_Mutation	0.023239999999999754
MetaLR_pred	0.020559999999999894
DOM_PF10409	0.01999999999999975
DOM_PF07710	0.01999999999999975
DOM_PF00870	0.01999999999999975
DOM_PF00180	0.01999999999999975
DOM_PF00505	0.01999999999999975
DOM_PF00757	0.01999999999999975
Variant_Classification_In_Frame_Ins	0.01999999999999975
Variant_Classification_3'UTR	0.01999999999999975
Variant_Classification_Intron	0.01999999999999975
Variant_Classification_Splice_Region	0.019959999999999752
Variant_Classification_5'UTR	0.019799999999999755
Variant_Classification_Translation_Start_Site	0.01971999999999976
fathmm-MKL_coding_pred	0.018319999999999916
Variant_Classification_5'Flank	0.012119999999999917
DOM_PF15482	0.0
DOM_PF07544	0.0
DOM_PF15664	0.0
DOM_PF10581	0.0
DOM_PF07458	0.0
DOM_PF00277	0.0
Variant_Classification_Nonstop_Mutation	0.0
DOM_PF16454	0.0
DOM_PF05028	0.0
Variant_Classification_IGR	0.0
Variant_Classification_RNA	0.0
DOM_PF13885	0.0
DOM_PF12301	0.0
DOM_PF01500	0.0
DOM_PF16210	0.0
DOM_PF13853	0.0
DOM_PF08180	0.0
DOM_PF09040	0.0
Variant_Classification_3'Flank	0.0
DOM_PF14642	0.0
DOM_PF12540	0.0
DOM_PF05392	0.0
DOM_PF05206	0.0
