Features	Importance
DOM_PF00180	0.2750200199858636
SiPhy_29way_logOdds	0.041552179919301345
PROVEAN_score	0.04086575133419742
VEST3_score	0.03880447861808756
MutationAssessor_score	0.03816117211060643
phyloP20way_mammalian	0.03624119450454883
phastCons7way_vertebrate	0.0361889492422392
GERP++_RS	0.03574782630763848
MetaSVM_score	0.034440976604073845
FATHMM_score	0.03339715712756456
integrated_fitCons_score	0.033003057709473115
MetaLR_score	0.03248251745872288
fathmm-MKL_coding_score	0.02878866000380773
CADD_raw	0.028612709655182336
phastCons20way_mammalian	0.02837541981411202
SIFT_score	0.02828661477787062
phyloP7way_vertebrate	0.027322717887248226
Polyphen2_HVAR_score	0.025203354138837532
DANN_score	0.01906385042233932
Polyphen2_HDIV_score	0.018187993810806186
CADD_phred	0.018148931291386092
MutationTaster_score	0.014130918930188715
Variant_Classification_Silent	0.013490211851263516
Variant_Classification_Missense_Mutation	0.012096596802029326
LRT_score	0.012084045650096482
Variant_Classification_Frame_Shift_Ins	0.009716968194358746
Variant_Classification_Frame_Shift_Del	0.006669226330323057
Variant_Classification_Nonsense_Mutation	0.006360101564758416
MutationAssessor_pred	0.0039594996948776814
LRT_pred	0.0034706455118256566
DOM_PF00757	0.002423141509821348
Polyphen2_HDIV_pred	0.002266281612669578
Polyphen2_HVAR_pred	0.0022035024963788915
Variant_Classification_In_Frame_Del	0.0019578824906707815
SIFT_pred	0.0018133007940574013
PROVEAN_pred	0.001806075115225576
FATHMM_pred	0.0013661657019770203
MetaSVM_pred	0.0012087264326575337
MutationTaster_pred	0.0010555146183920921
Variant_Classification_Splice_Region	0.0010151896959771087
DOM_PF10409	0.0009115934363578198
MetaLR_pred	0.0009078606373135186
fathmm-MKL_coding_pred	0.000554060920232577
Variant_Classification_In_Frame_Ins	0.0004127843887472085
integrated_confidence_value	0.00017249134164304324
Variant_Classification_Translation_Start_Site	5.1681554249678964e-05
DOM_PF15664	0.0
DOM_PF07544	0.0
DOM_PF00505	0.0
DOM_PF16210	0.0
DOM_PF01500	0.0
DOM_PF13885	0.0
DOM_PF05028	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF16454	0.0
DOM_PF00277	0.0
DOM_PF07458	0.0
DOM_PF10581	0.0
DOM_PF09040	0.0
Variant_Classification_Intron	0.0
DOM_PF14642	0.0
DOM_PF12540	0.0
DOM_PF05392	0.0
DOM_PF12301	0.0
DOM_PF15482	0.0
DOM_PF08180	0.0
DOM_PF13853	0.0
Variant_Classification_IGR	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_RNA	0.0
DOM_PF05206	0.0
