Features	Importance
DOM_PF00180	0.5038055911229826
Variant_Classification_Missense_Mutation	0.03269156331730214
FATHMM_score	0.032391969164685654
MetaLR_score	0.029470335093848683
phyloP20way_mammalian	0.02608794845695641
phastCons7way_vertebrate	0.024160138600894818
MetaSVM_score	0.02323167722694476
PROVEAN_score	0.02319224446054369
CADD_raw	0.02262269840317658
Variant_Classification_Silent	0.021510529500812604
SiPhy_29way_logOdds	0.020723359569995433
GERP++_RS	0.019725366386940568
Polyphen2_HVAR_score	0.01831073830047671
MutationAssessor_score	0.017295407405032666
Polyphen2_HDIV_score	0.017275224870371884
phyloP7way_vertebrate	0.01676642154908821
SIFT_score	0.01648809495718694
phastCons20way_mammalian	0.016093972107468428
VEST3_score	0.01485157504225497
CADD_phred	0.014520965970018458
integrated_fitCons_score	0.01393319804948721
fathmm-MKL_coding_score	0.012176153741337008
Variant_Classification_Nonsense_Mutation	0.009959953399193956
MutationTaster_score	0.009025930755526533
LRT_score	0.008264176774414421
Variant_Classification_Frame_Shift_Ins	0.007459646920244459
Variant_Classification_Frame_Shift_Del	0.005910284165064708
DANN_score	0.004982163214252238
MutationAssessor_pred	0.002668192715396777
LRT_pred	0.002523814819572143
FATHMM_pred	0.0022233470486814305
Polyphen2_HDIV_pred	0.0019517600907548581
MutationTaster_pred	0.001904108500822868
Polyphen2_HVAR_pred	0.0018586035451170868
DOM_PF00757	0.0013480139595559355
PROVEAN_pred	0.0011178375102119656
SIFT_pred	0.0005455599685685264
fathmm-MKL_coding_pred	0.0004876953800255047
Variant_Classification_In_Frame_Del	0.00027428413162935544
MetaLR_pred	0.00016945380316078584
DOM_PF16210	0.0
DOM_PF13885	0.0
DOM_PF01500	0.0
DOM_PF10581	0.0
DOM_PF00505	0.0
DOM_PF09040	0.0
DOM_PF07544	0.0
DOM_PF10409	0.0
DOM_PF00870	0.0
DOM_PF07710	0.0
DOM_PF05028	0.0
DOM_PF16454	0.0
DOM_PF12540	0.0
DOM_PF00277	0.0
DOM_PF07458	0.0
DOM_PF15664	0.0
DOM_PF14642	0.0
Variant_Classification_Intron	0.0
DOM_PF05392	0.0
Variant_Classification_Splice_Region	0.0
MetaSVM_pred	0.0
integrated_confidence_value	0.0
Variant_Classification_RNA	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_5'Flank	0.0
DOM_PF12301	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF08180	0.0
DOM_PF15482	0.0
DOM_PF05206	0.0
