Features	Importance
DOM_PF00180	0.7673631596055475
Variant_Classification_Frame_Shift_Del	0.05438962143445281
Variant_Classification_Missense_Mutation	0.036281462402234205
DOM_PF00757	0.03436317899488201
Variant_Classification_Nonsense_Mutation	0.03339349287402522
Variant_Classification_Silent	0.02876678407913218
Variant_Classification_Frame_Shift_Ins	0.01162412662068388
MutationAssessor_pred	0.005701862605024581
Polyphen2_HVAR_pred	0.005156609481771202
LRT_pred	0.004366794203628779
Polyphen2_HDIV_pred	0.004208592927587087
FATHMM_pred	0.003402609510337176
MetaSVM_pred	0.0025816810099691958
Variant_Classification_Intron	0.0020595085506439413
fathmm-MKL_coding_pred	0.001713581737246094
MutationTaster_pred	0.001203674007353585
PROVEAN_pred	0.0011881016526830508
MetaLR_pred	0.0010956005141236978
SIFT_pred	0.0005768399361192094
Variant_Classification_Splice_Site	0.0005627178525546007
DOM_PF07458	0.0
DOM_PF00277	0.0
DOM_PF10409	0.0
DOM_PF16454	0.0
DOM_PF05028	0.0
DOM_PF07710	0.0
DOM_PF00870	0.0
DOM_PF10581	0.0
DOM_PF07544	0.0
DOM_PF13885	0.0
DOM_PF01500	0.0
DOM_PF16210	0.0
DOM_PF15664	0.0
DOM_PF00505	0.0
DOM_PF09040	0.0
Variant_Classification_In_Frame_Ins	0.0
DOM_PF14642	0.0
DOM_PF12540	0.0
Variant_Classification_RNA	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_In_Frame_Del	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_IGR	0.0
DOM_PF13853	0.0
DOM_PF08180	0.0
DOM_PF15482	0.0
DOM_PF12301	0.0
DOM_PF05392	0.0
DOM_PF05206	0.0
