Features	Importance
MutationAssessor_pred	0.07800000000000003
Polyphen2_HVAR_pred	0.05800000000000001
FATHMM_pred	0.05
MutationTaster_pred	0.04700000000000001
LRT_pred	0.028999999999999998
fathmm-MKL_coding_pred	0.026000000000000002
Variant_Classification_Silent	0.026000000000000002
Variant_Classification_Nonsense_Mutation	0.026000000000000002
Variant_Classification_Splice_Site	0.025
Variant_Classification_Frame_Shift_Del	0.02300000000000001
Variant_Classification_Missense_Mutation	0.023
Variant_Classification_In_Frame_Del	0.021000000000000005
PROVEAN_pred	0.021000000000000005
Variant_Classification_Frame_Shift_Ins	0.021
DOM_PF00071	0.020000000000000004
Variant_Classification_In_Frame_Ins	0.020000000000000004
DOM_PF07710	0.020000000000000004
DOM_PF00870	0.020000000000000004
Variant_Classification_Splice_Region	0.020000000000000004
Variant_Classification_5'UTR	0.020000000000000004
Variant_Classification_3'UTR	0.020000000000000004
DOM_PF07679	0.020000000000000004
Variant_Classification_Intron	0.020000000000000004
DOM_PF00028	0.020000000000000004
DOM_PF00041	0.019000000000000003
DOM_PF02210	0.019000000000000003
DOM_PF00084	0.018000000000000002
DOM_PF00520	0.018000000000000002
DOM_PF01094	0.016
DOM_PF00431	0.016
MetaSVM_pred	0.015
DOM_PF00090	0.013999999999999999
SIFT_pred	0.012
DOM_PF00003	0.011999999999999999
Polyphen2_HDIV_pred	0.011999999999999999
DOM_PF01391	0.011999999999999999
DOM_PF00135	0.009999999999999998
DOM_PF08441	0.009999999999999998
DOM_PF03516	0.008
DOM_PF00060	0.008
DOM_PF10565	0.007000000000000001
MetaLR_pred	0.007000000000000001
DOM_PF00057	0.007000000000000001
DOM_PF00754	0.007000000000000001
DOM_PF08374	0.006
DOM_PF01049	0.006
DOM_PF01421	0.006
DOM_PF01404	0.006
DOM_PF02026	0.005
DOM_PF01055	0.005
DOM_PF01823	0.004
DOM_PF01576	0.004
DOM_PF00001	0.004
DOM_PF00413	0.004
Variant_Classification_3'Flank	0.004
DOM_PF00683	0.003
DOM_PF08344	0.003
DOM_PF07686	0.003
DOM_PF00193	0.003
DOM_PF05729	0.003
Variant_Classification_Translation_Start_Site	0.002
DOM_PF08434	0.002
DOM_PF00250	0.002
Variant_Classification_5'Flank	0.001
DOM_PF07700	0.001
DOM_PF00059	0.001
Variant_Classification_Nonstop_Mutation	0.001
DOM_PF10501	0.0
DOM_PF00079	0.0
DOM_PF04790	0.0
DOM_PF14820	0.0
DOM_PF15256	0.0
DOM_PF04832	0.0
DOM_PF00031	0.0
DOM_PF00232	0.0
DOM_PF15030	0.0
DOM_PF08562	0.0
DOM_PF11626	0.0
DOM_PF00361	0.0
DOM_PF15371	0.0
DOM_PF15240	0.0
DOM_PF11918	0.0
DOM_PF15468	0.0
DOM_PF15902	0.0
DOM_PF00837	0.0
DOM_PF10581	0.0
DOM_PF15621	0.0
DOM_PF16606	0.0
DOM_PF15367	0.0
DOM_PF16492	0.0
DOM_PF08043	0.0
DOM_PF09422	0.0
DOM_PF00690	0.0
DOM_PF19424	0.0
DOM_PF00201	0.0
DOM_PF15079	0.0
DOM_PF06484	0.0
Variant_Classification_RNA	0.0
DOM_PF15217	0.0
DOM_PF08180	0.0
DOM_PF07534	0.0
DOM_PF02389	0.0
DOM_PF14566	0.0
DOM_PF05287	0.0
DOM_PF15229	0.0
DOM_PF02760	0.0
DOM_PF06229	0.0
DOM_PF13385	0.0
Variant_Classification_IGR	0.0
DOM_PF13306	0.0
DOM_PF14672	0.0
DOM_PF00051	0.0
DOM_PF13885	0.0
DOM_PF01500	0.0
DOM_PF11759	0.0
DOM_PF13853	0.0
DOM_PF13927	0.0
DOM_PF13895	0.0
DOM_PF01007	0.0
DOM_PF04548	0.0
DOM_PF00125	0.0
DOM_PF14650	0.0
DOM_PF00151	0.0
DOM_PF14642	0.0
DOM_PF06312	0.0
DOM_PF13839	0.0
DOM_PF05028	0.0
DOM_PF15752	0.0
DOM_PF02191	0.0
DOM_PF16863	0.0
DOM_PF06614	0.0
DOM_PF02932	0.0
DOM_PF01454	0.0
DOM_PF02931	0.0
DOM_PF05057	0.0
DOM_PF15482	0.0
DOM_PF15434	0.0
DOM_PF16026	0.0
DOM_PF16497	0.0
DOM_PF04810	0.0
