Features	Importance
DOM_PF00071	0.3869103385101109
DOM_PF00431	0.1590658157994202
DOM_PF00084	0.13470672703409073
DOM_PF00057	0.06380296523022054
DOM_PF00028	0.03418840357307361
integrated_fitCons_score	0.02715541875821998
phastCons7way_vertebrate	0.02545069756896467
SiPhy_29way_logOdds	0.015689454180254706
phastCons20way_mammalian	0.012320956250171402
CADD_raw	0.011580680026231088
GERP++_RS	0.011299628769937582
CADD_phred	0.009761397784426562
fathmm-MKL_coding_score	0.009165616616931693
VEST3_score	0.008423469307231535
MutationTaster_score	0.007988019921332327
FATHMM_score	0.00750464193057303
PROVEAN_score	0.006835224374236018
MetaLR_score	0.006104329521618501
MetaSVM_score	0.006046803948196712
SIFT_score	0.00600721856318036
MutationAssessor_score	0.005971895433127694
phyloP20way_mammalian	0.005175267167977424
DOM_PF00001	0.005154007503443011
Variant_Classification_In_Frame_Del	0.0038386276607142765
phyloP7way_vertebrate	0.003112970385963992
fathmm-MKL_coding_pred	0.0029743946013013533
DANN_score	0.0028641037194938822
Variant_Classification_Silent	0.0027784936234074367
MutationAssessor_pred	0.0025299539849341934
Variant_Classification_Nonsense_Mutation	0.0021972732007998386
Polyphen2_HDIV_score	0.00208708526310725
LRT_score	0.0016734559955755846
Variant_Classification_Frame_Shift_Ins	0.0014548233053818945
DOM_PF02210	0.0013795829659441323
Variant_Classification_Frame_Shift_Del	0.0013722692998617348
Polyphen2_HVAR_score	0.0011206164929813177
LRT_pred	0.0011037970873448396
DOM_PF00520	0.0009129106699826361
Variant_Classification_Missense_Mutation	0.0004553315162278257
DOM_PF00090	0.0004112868156318984
DOM_PF01007	0.000396617668071365
DOM_PF00135	0.0003088096044776283
Polyphen2_HVAR_pred	0.00020025192155001572
Polyphen2_HDIV_pred	0.00018473420667234505
FATHMM_pred	0.00016099733185606405
PROVEAN_pred	9.283458599316938e-05
MutationTaster_pred	7.980031975506477e-05
DOM_PF15079	0.0
DOM_PF02931	0.0
DOM_PF15229	0.0
DOM_PF05287	0.0
DOM_PF13839	0.0
DOM_PF05028	0.0
DOM_PF07710	0.0
DOM_PF00870	0.0
DOM_PF02191	0.0
DOM_PF16863	0.0
DOM_PF06614	0.0
DOM_PF06312	0.0
DOM_PF02932	0.0
DOM_PF08043	0.0
DOM_PF10565	0.0
DOM_PF14566	0.0
DOM_PF05729	0.0
DOM_PF01576	0.0
DOM_PF16026	0.0
DOM_PF00041	0.0
DOM_PF16497	0.0
DOM_PF01454	0.0
DOM_PF01823	0.0
DOM_PF00151	0.0
DOM_PF00060	0.0
DOM_PF00059	0.0
DOM_PF15621	0.0
DOM_PF11918	0.0
DOM_PF00413	0.0
DOM_PF15256	0.0
DOM_PF00201	0.0
DOM_PF15217	0.0
DOM_PF08344	0.0
DOM_PF07534	0.0
DOM_PF00837	0.0
DOM_PF10581	0.0
DOM_PF19424	0.0
DOM_PF15902	0.0
DOM_PF00079	0.0
DOM_PF04790	0.0
DOM_PF14820	0.0
DOM_PF07686	0.0
DOM_PF06484	0.0
DOM_PF16606	0.0
DOM_PF09422	0.0
DOM_PF04832	0.0
DOM_PF02026	0.0
DOM_PF10501	0.0
DOM_PF01421	0.0
DOM_PF00193	0.0
DOM_PF11626	0.0
DOM_PF00361	0.0
DOM_PF08374	0.0
DOM_PF15240	0.0
DOM_PF00683	0.0
DOM_PF06229	0.0
DOM_PF13385	0.0
DOM_PF13306	0.0
DOM_PF01391	0.0
DOM_PF00690	0.0
DOM_PF16492	0.0
DOM_PF01049	0.0
DOM_PF08434	0.0
DOM_PF15482	0.0
DOM_PF15367	0.0
DOM_PF08180	0.0
DOM_PF01094	0.0
DOM_PF04548	0.0
DOM_PF13853	0.0
DOM_PF00003	0.0
Variant_Classification_IGR	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_Splice_Site	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Intron	0.0
integrated_confidence_value	0.0
MetaLR_pred	0.0
MetaSVM_pred	0.0
DOM_PF02389	0.0
DOM_PF08562	0.0
DOM_PF00031	0.0
DOM_PF01055	0.0
DOM_PF14672	0.0
DOM_PF00051	0.0
DOM_PF13885	0.0
DOM_PF01500	0.0
DOM_PF11759	0.0
DOM_PF08441	0.0
DOM_PF13927	0.0
DOM_PF13895	0.0
DOM_PF07679	0.0
DOM_PF00125	0.0
DOM_PF07700	0.0
DOM_PF02760	0.0
DOM_PF00232	0.0
DOM_PF15030	0.0
DOM_PF00250	0.0
DOM_PF03516	0.0
SIFT_pred	0.0
DOM_PF14650	0.0
DOM_PF14642	0.0
DOM_PF15434	0.0
DOM_PF00754	0.0
DOM_PF01404	0.0
DOM_PF05057	0.0
DOM_PF15752	0.0
DOM_PF15468	0.0
DOM_PF15371	0.0
DOM_PF04810	0.0
