Features	Importance
Closeness_centrality	0.22109786538163112
Degree	0.17043369231747416
Betweeness_centrality	0.1582479384817977
logCPM	0.139940318565495
DOM_PF00071	0.07823545108819113
neigh_FC	0.07571870443352272
logFC	0.038475840360555985
DOM_PF00870	0.02385836808928979
Variant_Classification_Missense_Mutation	0.01724927652861606
neigh_CNV_normFC	0.014941120646975902
neigh_CNV_FC	0.008172846728275927
Variant_Classification_Silent	0.007401305054444141
Variant_Classification_Nonsense_Mutation	0.006180954312491528
CNV	0.004300120742131933
fathmm-MKL_coding_score	0.0035949203351592473
Variant_Classification_Frame_Shift_Del	0.0035327403167923817
CADD_raw	0.002318731435846456
MetaLR_score	0.0020763970267956085
CADD_phred	0.001914947850018325
Variant_Classification_Splice_Site	0.0017673961247839857
integrated_fitCons_score	0.0015436765980690191
SIFT_score	0.0013301317411675857
MutationAssessor_score	0.001318921561700412
GERP++_RS	0.0012657725750720094
DOM_PF07710	0.0012338934222329814
phastCons7way_vertebrate	0.001090559767538357
hsa-mir-184	0.001055070658684053
phastCons20way_mammalian	0.00098118011567788
phyloP7way_vertebrate	0.0009791256355393065
PROVEAN_score	0.0009170455880792357
VEST3_score	0.0008656453486983882
SiPhy_29way_logOdds	0.0007762902140690883
LRT_score	0.0007341818450961643
Variant_Classification_In_Frame_Del	0.0006822162411704043
Polyphen2_HDIV_score	0.0006640560426788977
FATHMM_score	0.0006516832909807642
MetaSVM_score	0.0005421584157737222
hsa-mir-3154	0.0005255199062659305
DANN_score	0.0005196118041528211
Polyphen2_HVAR_score	0.0004923562209654714
Polyphen2_HDIV_pred	0.00039848855423615394
MutationAssessor_pred	0.0003705356435813789
Variant_Classification_Frame_Shift_Ins	0.0003007518729963194
DOM_PF00041	0.00029899142136852224
LRT_pred	0.0002817031122323364
phyloP20way_mammalian	0.00027801393684791074
MutationTaster_score	0.0002679492942314101
MutationTaster_pred	9.602776418544468e-05
SIFT_pred	4.41404788674024e-05
MetaLR_pred	3.536510755156471e-05
DOM_PF15229	0.0
DOM_PF16497	0.0
DOM_PF14566	0.0
DOM_PF15621	0.0
DOM_PF00361	0.0
DOM_PF00413	0.0
DOM_PF11918	0.0
DOM_PF15240	0.0
DOM_PF08374	0.0
DOM_PF13839	0.0
DOM_PF11626	0.0
DOM_PF05287	0.0
DOM_PF06614	0.0
DOM_PF05028	0.0
DOM_PF02191	0.0
DOM_PF16863	0.0
DOM_PF01454	0.0
DOM_PF06312	0.0
DOM_PF02932	0.0
DOM_PF02931	0.0
DOM_PF10565	0.0
DOM_PF05729	0.0
DOM_PF10501	0.0
DOM_PF01576	0.0
DOM_PF16026	0.0
DOM_PF01421	0.0
DOM_PF07534	0.0
DOM_PF02026	0.0
DOM_PF04832	0.0
FC_Betweeness_centrality	0.0
FC_Closeness_centrality	0.0
FC_Degree	0.0
Polyphen2_HVAR_pred	0.0
DOM_PF04810	0.0
DOM_PF16606	0.0
DOM_PF00193	0.0
DOM_PF08043	0.0
DOM_PF09422	0.0
DOM_PF07686	0.0
DOM_PF19424	0.0
DOM_PF00201	0.0
DOM_PF15079	0.0
DOM_PF06484	0.0
DOM_PF00090	0.0
DOM_PF15217	0.0
DOM_PF08344	0.0
DOM_PF00151	0.0
DOM_PF00683	0.0
DOM_PF00837	0.0
DOM_PF10581	0.0
DOM_PF00084	0.0
DOM_PF15902	0.0
DOM_PF00079	0.0
DOM_PF04790	0.0
DOM_PF14820	0.0
DOM_PF15256	0.0
DOM_PF01823	0.0
DOM_PF00051	0.0
DOM_PF00060	0.0
DOM_PF08434	0.0
DOM_PF13853	0.0
DOM_PF04548	0.0
DOM_PF01094	0.0
DOM_PF08180	0.0
DOM_PF15367	0.0
DOM_PF15482	0.0
DOM_PF00135	0.0
DOM_PF08562	0.0
DOM_PF00431	0.0
DOM_PF00028	0.0
DOM_PF01049	0.0
DOM_PF16492	0.0
DOM_PF00690	0.0
DOM_PF01391	0.0
DOM_PF00003	0.0
DOM_PF00001	0.0
Variant_Classification_IGR	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_5'Flank	0.0
Variant_Classification_Splice_Region	0.0
Variant_Classification_3'Flank	0.0
Variant_Classification_3'UTR	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_RNA	0.0
Variant_Classification_Intron	0.0
FATHMM_pred	0.0
PROVEAN_pred	0.0
integrated_confidence_value	0.0
fathmm-MKL_coding_pred	0.0
DOM_PF02389	0.0
DOM_PF00031	0.0
DOM_PF00059	0.0
DOM_PF01500	0.0
DOM_PF01007	0.0
DOM_PF13895	0.0
DOM_PF13927	0.0
DOM_PF08441	0.0
DOM_PF00520	0.0
DOM_PF11759	0.0
DOM_PF13885	0.0
DOM_PF15030	0.0
MetaSVM_pred	0.0
DOM_PF14672	0.0
DOM_PF13306	0.0
DOM_PF02210	0.0
DOM_PF13385	0.0
DOM_PF00057	0.0
DOM_PF07679	0.0
DOM_PF00125	0.0
DOM_PF02760	0.0
DOM_PF01055	0.0
DOM_PF00232	0.0
DOM_PF00250	0.0
DOM_PF03516	0.0
DOM_PF06229	0.0
DOM_PF14650	0.0
DOM_PF14642	0.0
DOM_PF15434	0.0
DOM_PF00754	0.0
DOM_PF01404	0.0
DOM_PF05057	0.0
DOM_PF15752	0.0
DOM_PF15468	0.0
DOM_PF15371	0.0
DOM_PF07700	0.0
