Features	Importance
Closeness_centrality	0.2765648215266356
Betweeness_centrality	0.2532139247083859
logFC	0.14544419552701252
logCPM	0.13549460331541724
Degree	0.13329027268957444
FC_Betweeness_centrality	0.021214974066951116
neigh_CNV_FC	0.012353848600559431
neigh_FC	0.006272163923513953
FC_Degree	0.002888667794475191
neigh_CNV_normFC	0.00265520616053641
hsa-mir-3154	0.0020587523536952086
CNV	0.001901555676163574
hsa-mir-184	0.0015708071043237192
DOM_PF00071	0.0013872670266246432
LRT_pred	0.0006056826842854875
DOM_PF08441	0.000497194615770029
MetaLR_pred	0.00043622680679901454
Variant_Classification_Frame_Shift_Ins	0.00037558685446009374
Variant_Classification_Splice_Region	0.00025995853976284024
Polyphen2_HVAR_pred	0.00025589952252592105
Variant_Classification_3'UTR	0.0002549625148444844
PROVEAN_pred	0.0002279202279202279
Polyphen2_HDIV_pred	0.00020891364902506966
SIFT_pred	0.00020891364902506966
Variant_Classification_Splice_Site	0.00014747799382927945
MutationAssessor_pred	8.986928104575133e-05
Variant_Classification_Silent	6.036470341647475e-05
FATHMM_pred	5.996848342142951e-05
DOM_PF01421	0.0
DOM_PF15240	0.0
DOM_PF08374	0.0
DOM_PF00361	0.0
DOM_PF11626	0.0
Variant_Classification_5'UTR	0.0
Variant_Classification_5'Flank	0.0
DOM_PF00413	0.0
DOM_PF10501	0.0
DOM_PF02026	0.0
DOM_PF04832	0.0
DOM_PF15256	0.0
DOM_PF14820	0.0
DOM_PF11918	0.0
DOM_PF15621	0.0
DOM_PF14566	0.0
DOM_PF00079	0.0
DOM_PF15229	0.0
DOM_PF05287	0.0
DOM_PF13839	0.0
DOM_PF05028	0.0
DOM_PF07710	0.0
DOM_PF00870	0.0
DOM_PF02191	0.0
DOM_PF16863	0.0
DOM_PF06614	0.0
DOM_PF06312	0.0
DOM_PF02932	0.0
DOM_PF02931	0.0
DOM_PF04790	0.0
DOM_PF00084	0.0
DOM_PF15902	0.0
DOM_PF05729	0.0
MutationTaster_pred	0.0
FC_Closeness_centrality	0.0
fathmm-MKL_coding_pred	0.0
MetaSVM_pred	0.0
Variant_Classification_Missense_Mutation	0.0
Variant_Classification_Nonsense_Mutation	0.0
Variant_Classification_Frame_Shift_Del	0.0
Variant_Classification_Intron	0.0
Variant_Classification_RNA	0.0
DOM_PF04810	0.0
DOM_PF16606	0.0
DOM_PF00041	0.0
DOM_PF00193	0.0
DOM_PF08043	0.0
DOM_PF09422	0.0
DOM_PF07686	0.0
DOM_PF19424	0.0
DOM_PF00201	0.0
DOM_PF15079	0.0
DOM_PF06484	0.0
DOM_PF00090	0.0
DOM_PF15217	0.0
DOM_PF08344	0.0
DOM_PF07534	0.0
DOM_PF00683	0.0
DOM_PF00837	0.0
DOM_PF10581	0.0
DOM_PF10565	0.0
DOM_PF01576	0.0
Variant_Classification_In_Frame_Del	0.0
DOM_PF16026	0.0
DOM_PF01404	0.0
DOM_PF05057	0.0
DOM_PF15752	0.0
DOM_PF15468	0.0
DOM_PF15371	0.0
DOM_PF15030	0.0
DOM_PF00031	0.0
DOM_PF08562	0.0
DOM_PF02389	0.0
DOM_PF01391	0.0
DOM_PF00690	0.0
DOM_PF16492	0.0
DOM_PF01049	0.0
DOM_PF00028	0.0
DOM_PF00431	0.0
DOM_PF00135	0.0
DOM_PF08434	0.0
DOM_PF15482	0.0
DOM_PF15367	0.0
DOM_PF08180	0.0
DOM_PF01094	0.0
DOM_PF04548	0.0
DOM_PF13853	0.0
DOM_PF00003	0.0
DOM_PF00001	0.0
Variant_Classification_IGR	0.0
Variant_Classification_In_Frame_Ins	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_Translation_Start_Site	0.0
DOM_PF00754	0.0
DOM_PF15434	0.0
DOM_PF14642	0.0
DOM_PF01500	0.0
DOM_PF16497	0.0
DOM_PF01454	0.0
DOM_PF01823	0.0
DOM_PF00151	0.0
DOM_PF00060	0.0
DOM_PF00059	0.0
DOM_PF00057	0.0
DOM_PF13385	0.0
DOM_PF02210	0.0
DOM_PF13306	0.0
Variant_Classification_3'Flank	0.0
DOM_PF00051	0.0
DOM_PF13885	0.0
DOM_PF11759	0.0
DOM_PF14650	0.0
DOM_PF00520	0.0
DOM_PF13927	0.0
DOM_PF13895	0.0
DOM_PF01007	0.0
DOM_PF07679	0.0
DOM_PF00125	0.0
DOM_PF07700	0.0
DOM_PF02760	0.0
DOM_PF01055	0.0
DOM_PF00232	0.0
DOM_PF00250	0.0
DOM_PF03516	0.0
DOM_PF06229	0.0
DOM_PF14672	0.0
